PassengerId;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked;Name_type;Name_code;Name_1
1;0;3;Braund;male;22.0;1;0;A/5 21171;7.25;;S; Mr;6; Owen Harris
2;1;1;Cumings;female;38.0;1;0;PC 17599;712.833;C85;C; Mrs;8; John Bradley (Florence Briggs Thayer)
3;1;3;Heikkinen;female;26.0;0;0;STON/O2. 3101282;7.925;;S; Miss;2; Laina
4;1;1;Futrelle;female;35.0;1;0;113803;53.1;C123;S; Mrs;8; Jacques Heath (Lily May Peel)
5;0;3;Allen;male;35.0;0;0;373450;8.05;;S; Mr;6; William Henry
7;0;1;McCarthy;male;54.0;0;0;17463;518.625;E46;S; Mr;6; Timothy J
8;0;3;Palsson;male;2.0;3;1;349909;21.075;;S; Master;1; Gosta Leonard
9;1;3;Johnson;female;27.0;0;2;347742;111.333;;S; Mrs;8; Oscar W (Elisabeth Vilhelmina Berg)
10;1;2;Nasser;female;14.0;1;0;237736;300.708;;C; Mrs;8; Nicholas (Adele Achem)
11;1;3;Sandstrom;female;4.0;1;1;PP 9549;16.7;G6;S; Miss;2; Marguerite Rut
12;1;1;Bonnell;female;58.0;0;0;113783;26.55;C103;S; Miss;2; Elizabeth
13;0;3;Saundercock;male;20.0;0;0;A/5. 2151;8.05;;S; Mr;6; William Henry
14;0;3;Andersson;male;39.0;1;5;347082;31.275;;S; Mr;6; Anders Johan
15;0;3;Vestrom;female;14.0;0;0;350406;78.542;;S; Miss;2; Hulda Amanda Adolfina
16;1;2;Hewlett;female;55.0;0;0;248706;16.0;;S; Mrs;8; (Mary D Kingcome) 
17;0;3;Rice;male;2.0;4;1;382652;29.125;;Q; Master;1; Eugene
19;0;3;Vander Planke;female;31.0;1;0;345763;18.0;;S; Mrs;8; Julius (Emelia Maria Vandemoortele)
21;0;2;Fynney;male;35.0;0;0;239865;26.0;;S; Mr;6; Joseph J
22;1;2;Beesley;male;34.0;0;0;248698;13.0;D56;S; Mr;6; Lawrence
23;1;3;McGowan;female;15.0;0;0;330923;80.292;;Q; Miss;2;" Anna ""Annie"""
24;1;1;Sloper;male;28.0;0;0;113788;35.5;A6;S; Mr;6; William Thompson
25;0;3;Palsson;female;8.0;3;1;349909;21.075;;S; Miss;2; Torborg Danira
26;1;3;Asplund;female;38.0;1;5;347077;313.875;;S; Mrs;8; Carl Oscar (Selma Augusta Emilia Johansson)
28;0;1;Fortune;male;19.0;3;2;19950;263.0;C23 C25 C27;S; Mr;6; Charles Alexander
